Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,E1,FALSE,A12,Acerv,UNKNOWN,SYBR,None,16.862,16.923,0.085,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.777,Y,N,N,75.320,,,
50,E2,FALSE,A12,A,UNKNOWN,SYBR,None,18.626,18.716,0.127,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.830,N,N,N,87.546,,,
51,E3,FALSE,A12,Acerv,UNKNOWN,SYBR,None,16.983,16.923,0.085,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.782,Y,N,N,75.453,,,
52,E4,FALSE,A12,A,UNKNOWN,SYBR,None,18.806,18.716,0.127,,,,,,,,TRUE,0.231,TRUE,3,14,Amp,,0.846,N,N,N,87.669,,,
53,E5,FALSE,B1,Acerv,UNKNOWN,SYBR,None,17.492,17.463,0.041,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.944,N,N,N,75.303,,,
54,E6,FALSE,B1,A,UNKNOWN,SYBR,None,18.172,18.084,0.124,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.920,N,N,N,87.516,,,
55,E7,FALSE,B1,Acerv,UNKNOWN,SYBR,None,17.434,17.463,0.041,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.934,N,N,N,75.452,,,
56,E8,FALSE,B1,A,UNKNOWN,SYBR,None,17.997,18.084,0.124,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.952,N,N,N,87.668,,,
57,E9,FALSE,B2,Acerv,UNKNOWN,SYBR,None,17.088,17.285,0.278,,,,,,,,TRUE,0.108,TRUE,3,13,Amp,,0.949,N,N,N,75.473,,,
58,E10,FALSE,B2,A,UNKNOWN,SYBR,None,17.485,17.621,0.193,,,,,,,,TRUE,0.231,TRUE,3,12,Amp,,0.953,N,N,N,87.706,,,
59,E11,FALSE,B2,Acerv,UNKNOWN,SYBR,None,17.482,17.285,0.278,,,,,,,,TRUE,0.108,TRUE,3,14,Amp,,0.878,N,N,N,75.468,,,
60,E12,FALSE,B2,A,UNKNOWN,SYBR,None,17.758,17.621,0.193,,,,,,,,TRUE,0.231,TRUE,3,13,Amp,,0.917,N,N,N,87.695,,,
