Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,C2,FALSE,268,A,UNKNOWN,SYBR,None,22.419,22.318,0.143,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.953,N,N,N,N,85.344,,,
27,C3,FALSE,268,Acerv,UNKNOWN,SYBR,None,23.812,23.725,0.123,,,,,,,,TRUE,0.241,TRUE,3,17,Amp,,0.99,N,N,N,N,74.285,,,
28,C4,FALSE,268,A,UNKNOWN,SYBR,None,22.218,22.318,0.143,,,,,,,,TRUE,0.189,TRUE,3,18,Amp,,0.947,N,N,N,N,85.77,,,
29,C5,FALSE,A006,Acerv,UNKNOWN,SYBR,None,27.485,27.461,0.035,,,,,,,,TRUE,0.241,TRUE,3,22,Amp,,0.971,N,N,N,N,74.129,,,
30,C6,FALSE,A006,A,UNKNOWN,SYBR,None,22.772,22.585,0.264,,,,,,,,TRUE,0.189,TRUE,3,18,Amp,,0.948,N,N,N,N,85.607,,,
31,C7,FALSE,A006,Acerv,UNKNOWN,SYBR,None,27.436,27.461,0.035,,,,,,,,TRUE,0.241,TRUE,3,21,Amp,,0.969,N,N,N,N,74.136,,,
32,C8,FALSE,A006,A,UNKNOWN,SYBR,None,22.399,22.585,0.264,,,,,,,,TRUE,0.189,TRUE,3,17,Amp,,0.936,N,N,N,N,85.474,,,
33,C9,FALSE,A013,Acerv,UNKNOWN,SYBR,None,23.383,23.401,0.026,,,,,,,,TRUE,0.241,TRUE,3,18,Amp,,0.964,N,N,N,N,74.301,,,
34,C10,FALSE,A013,A,UNKNOWN,SYBR,None,24.048,24.026,0.032,,,,,,,,TRUE,0.189,TRUE,3,19,Amp,,0.946,N,N,N,N,85.652,,,
35,C11,FALSE,A013,Acerv,UNKNOWN,SYBR,None,23.42,23.401,0.026,,,,,,,,TRUE,0.241,TRUE,3,19,Amp,,0.977,N,N,N,N,74.148,,,
36,C12,FALSE,A013,A,UNKNOWN,SYBR,None,24.003,24.026,0.032,,,,,,,,TRUE,0.189,TRUE,3,19,Amp,,0.947,N,N,N,N,85.643,,,
37,D1,FALSE,A020,Acerv,UNKNOWN,SYBR,None,23.842,24.089,0.349,,,,,,,,TRUE,0.241,TRUE,3,19,Amp,,0.978,N,N,N,N,74.146,,,
